,molecular mass,mlogp,tpsa,HAccept,HDon,nrotate,carboxylic acid,carboxylate,ester,ether,alcohol,amide,primary amine,secondary amine,4 valenced nitrogen,tertiary amine,keton,cyanide,epoxide,sulfonyl,cyclohexane,piperidine,pyrrolidine,benzene,Methoxybenzene,methylaniline,Phenethylamine,pyridine,pyrrole,fluorine,lat1,lacc,6 atom ring,common atoms in fused 6 atom rings,opioid feature
0,318.43554,0.0443000000000038,80.23,2,0,11,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,252.33924,-1.7746,86.17,6,3,9,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,345.41606,1.1321,74.78,6,1,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,2,0,0
0,369.3614696,2.1937,65.55,8,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,3,0,0,2,0,0
0,320.40334,1.2672,62.22,5,1,5,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3,3,1,0
0,392.5106,4.51710000000001,49.69,4,1,5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,3,0,0
0,299.79638,0.595900000000001,70.75,5,3,8,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
0,425.91126,1.0428,74.24,7,2,5,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,2,0,4,0,0,0,0,0,3,3,0,0
0,651.78472,1.67140000000001,126.77,12,2,24,0,0,0,9,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,4,6,0
0,570.63556,1.1707,138.71,10,4,7,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,6,0
0,367.87034,0.755000000000002,79.98,6,3,7,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0
0,285.33766,1.006,52.93,4,2,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,-1,0
0,477.03752,6.02800000000001,46.94,4,1,8,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,3,4,0,0
