molecular_mass,mlogp,tpsa,n_rotatable,n_h_acceptors,n_h_donors,amide,carboxylic_acid,ester,ether,ketone,primary_amine,secondary_amine,tertiary_amine,benzene
318.4334,0.04430000000000389,80.23,14,8,4,0,0,0,1,0,0,2,1,0
570.6426,1.1707000000000038,138.71,12,10,7,0,0,0,1,0,0,3,1,0
499.61569999999995,0.6575000000000071,87.3,17,9,5,0,0,0,1,0,0,4,3,0
486.5914,1.4570000000000043,84.06,10,9,5,0,0,0,1,0,0,4,2,0
584.0981,1.4514000000000056,87.29999999999998,12,9,5,0,0,0,1,0,0,4,3,0
406.41909999999996,-0.565299999999995,112.03999999999999,5,8,5,0,0,0,1,0,2,2,1,0
540.0083,0.5340000000000059,145.34,16,11,9,0,0,0,1,0,0,6,0,0
469.94249999999994,1.8867000000000018,80.82,10,7,5,0,0,0,1,0,0,4,1,0
391.4249,1.6170000000000022,73.01,4,7,3,0,0,0,4,0,0,3,0,0
428.4408,-0.3064999999999942,86.27,6,8,5,0,0,0,0,0,0,3,2,0
560.6456,2.532900000000004,84.05999999999999,9,8,5,0,0,0,1,0,0,4,2,0
373.43049999999994,-0.8704999999999958,129.04,15,8,8,0,0,0,0,0,0,4,0,0
367.8714,0.7550000000000023,79.98,9,6,3,0,0,0,2,0,1,1,1,0
729.9020999999999,3.389600000000006,149.55,10,12,3,0,0,0,9,0,1,0,0,0
434.4687,1.3965000000000007,91.22999999999999,6,7,5,0,0,0,0,0,0,2,2,0
380.35659999999996,-0.046399999999996,83.62,3,7,6,0,0,0,0,0,0,5,0,0
582.9648000000001,1.2459000000000018,129.28,10,9,7,0,0,0,0,0,1,3,2,0
606.7702999999999,9.1597,60.69,17,3,4,0,0,0,0,0,0,0,0,0
293.3721,1.313500000000003,79.34,10,5,4,0,0,0,0,0,2,2,0,0
285.3089,1.2100000000000024,79.34,5,5,4,0,0,0,0,0,2,2,0,0
111.1471,-1.145899999999999,50.08,3,3,3,0,0,0,0,0,1,2,0,0
312.375,-1.2921999999999945,88.82,7,7,5,0,0,0,0,0,1,3,2,0
1202.6238999999998,1.2027999999999914,313.56,41,23,16,0,0,0,0,0,0,4,7,0
285.3411,1.0060000000000002,52.93000000000001,3,4,2,0,0,0,1,0,0,0,1,0
454.44479999999993,-4.8687999999999985,216.57999999999996,15,13,12,0,0,0,0,0,2,5,1,0
259.26370000000003,-1.2471999999999988,101.98,2,6,5,0,0,0,0,0,1,1,1,0
287.3569,2.0392,61.72,7,4,3,0,0,0,1,0,0,1,0,0
255.2717,1.0911999999999993,63.93000000000001,4,4,3,0,0,0,0,0,0,0,1,0
241.2885,2.2702,52.489999999999995,6,3,3,0,0,0,0,0,0,1,0,0
381.37059999999997,4.258000000000003,81.75,5,5,4,0,0,0,0,0,1,1,0,0
314.3536,4.086900000000003,69.92,4,4,3,0,0,0,1,0,0,0,0,0
314.3576,3.6579000000000015,87.74000000000001,5,5,4,0,0,0,0,0,1,1,0,0
358.83849999999995,3.899200000000002,64.52,5,4,4,0,0,0,0,0,0,2,0,0
